id,start,end,type,data
85,2019-10-13,2019-10-13,esport,"Final DOTA 2 berlangsung hari ini!"
86,2019-10-14,2019-10-26,esport,"Selamat kepada juara DOTA 2 MAGE 5! Terimakasih telah mengikuti rangkaian kegiatan MAGE 5. Silahkan isi form feedback berisi kritik dan saran untuk kami di *insert link*."
87,2019-10-22,2019-10-22,esport,"H-3 Group Stage CS-GO"
88,2019-10-23,2019-10-23,esport,"H-2 Group Stage CS-GO"
89,2019-10-24,2019-10-24,esport,"H-1 Group Stage CS-GO"
90,2019-10-25,2019-10-25,esport,"Group Stage CS-GO berlangsung hari ini!"
91,2019-10-26,2019-10-26,esport,"Semifinal & Final CS-GO berlangsung hari ini!"
92,2019-10-27,2019-11-03,esport,"Selamat kepada juara CS-GO MAGE 5! Terimakasih telah mengikuti rangkaian kegiatan MAGE 5. Silahkan isi form feedback berisi kritik dan saran untuk kami di *insert link*."
93,2019-10-29,2019-10-29,esport,"H-3 Group Stage PUBGM"
94,2019-10-30,2019-10-30,esport,"H-2 Group Stage PUBGM"
95,2019-10-31,2019-10-31,esport,"H-1 Group Stage PUBGM"
96,2019-11-01,2019-11-01,esport,"Group Stage PUBGM berlangsung hari ini!"
97,2019-11-02,2019-11-02,esport,"Semifinal PUBGM berlangsung hari ini!"
98,2019-11-03,2019-11-03,esport,"Final PUBGM berlangsung hari ini!"
99,2019-11-04,2019-11-13,esport,"Selamat kepada juara PUBGM MAGE 5! Terimakasih telah mengikuti rangkaian kegiatan MAGE 5. Silahkan isi form feedback berisi kritik dan saran untuk kami di *insert link*."
100,2019-11-05,2019-11-05,esport,"H-3 Group Stage Mobile Legends"
101,2019-11-06,2019-11-06,esport,"H-2 Group Stage Mobile Legends"
102,2019-11-07,2019-11-07,esport,"H-1 Group Stage Mobile Legends"
103,2019-11-08,2019-11-08,esport,"Group Stage Mobile Legends berlangsung hari ini!"
104,2019-11-09,2019-11-09,esport,"Semifinal Mobile Legends berlangsung hari ini!"
105,2019-11-14,2019-11-14,esport,"H-3 Final Mobile Legends"
106,2019-11-15,2019-11-15,esport,"H-2 Final Mobile Legends"
107,2019-11-16,2019-11-16,esport,"H-1 Final Mobile Legends"
108,2019-11-17,2019-11-17,esport,"Final Mobile Legends berlangsung hari ini!"
109,2019-11-17,2019-11-25,esport,"Selamat kepada juara Mobile Legends MAGE 5! Terimakasih telah mengikuti rangkaian kegiatan MAGE 5. Silahkan isi form feedback berisi kritik dan saran untuk kami di *insert link*."
110,2019-08-26,2019-09-02,guest,"Pendaftaran Development Competition diperpanjang sampai tanggal 2 September 2019 pukul 23.59 WIB"
